# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

N10-formyl-tetrahydrofolate biosynthesis|1CMET2-PWY|||0.15597373|1.1111112|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
NAD/NADH phosphorylation and dephosphorylation|PWY-5083|||0.15621778|4.1666665|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5083
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
folate transformations I|PWY-2201|Folate Transformations|Folate-Transformations|0.1650366|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
thiamine formation from pyrithiamine and oxythiamine (yeast)|PWY-7357|||0.16798101|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7357
phenylethanol biosynthesis|PWY-5751|||0.16925554|1.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
sphingosine and sphingosine-1-phosphate metabolism|PWY3DJ-11470|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11470
fatty acid beta-oxidation (peroxisome, yeast)|PWY-7288|||0.17740169|2.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7288
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.18069123|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
4-aminobutanoate degradation III|PWY-6536|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.18069123|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6536
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||0.19138756|1.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
choline biosynthesis III|PWY-3561|Choline Biosynthesis|Choline-Biosynthesis|0.19491576|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3561
protein ubiquitylation|PWY-7511|||0.19555557|17.222221|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7511
thiamine diphosphate biosynthesis IV (eukaryotes)|PWY-6908|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.20149505|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6908
oleate beta-oxidation (thioesterase-dependent, yeast)|PWY-7292|||0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7292
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|||0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)|PWY-7282|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis|HMP-PP-Biosynthesis|0.2149259|0.8888889|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7282
selenate reduction|PWY-6932|||0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6932
4-hydroxy-2-nonenal detoxification|PWY-7112|||0.22000001|3.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7112
L-rhamnose degradation II|PWY-6713|L-rhamnose Degradation|L-rhamnose-Degradation|0.23215725|0.125|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6713
L-proline biosynthesis III|PWY-3341|L-proline Biosynthesis|PROLINE-SYN|0.23354541|0.8|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3341
octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|PWY-7388|||0.23712502|2.1111112|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7388
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)|PWY-7268|||0.23992927|3.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7268
diacylglycerol and triacylglycerol biosynthesis|TRIGLSYN-PWY|||0.2466111|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TRIGLSYN-PWY
L-ornithine biosynthesis II|ARGININE-SYN4-PWY|L-Ornithine Biosynthesis|L-Ornithine-Biosynthesis|0.24699463|1.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGININE-SYN4-PWY
D-myo-inositol (1,3,4)-trisphosphate biosynthesis|PWY-6364|||0.2483669|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6364
docosahexaenoate biosynthesis III (6-desaturase, mammals)|PWY-7606|||0.25142857|0.64285713|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7606
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.25458574|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|0.256906|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)|PWY-7340|||0.264|1.1|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7340
